City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,tual,-5.6667,132.75,28.25,76,40,0.17,ID,1713244066
264,siwana,25.6333,72.4167,33.03,27,62,3.97,IN,1713244067
265,ivanteyevka,55.9711,37.9208,6.81,77,90,1.34,RU,1713244067
266,sarykemer,43.0,71.5,14.71,81,100,1.71,KZ,1713244068
267,greymouth,-42.4667,171.2,13.87,78,70,1.1,NZ,1713243919
268,haiku-pauwela,20.9219,-156.3051,23.36,81,20,2.68,US,1713244068
269,minas de marcona,-15.2119,-75.1103,16.22,92,79,5.61,PE,1713244069
270,badger,64.8,-147.5333,6.14,42,40,2.57,US,1713244069
271,letlhakane,-21.4167,25.5833,17.23,62,65,5.51,BW,1713244070
272,lorengau,-2.0226,147.2712,28.93,80,60,2.77,PG,1713244070
273,nazarovo,56.0064,90.3914,-1.87,49,67,3.22,RU,1713244070
274,tazacorte,28.629,-17.9293,18.54,59,0,3.6,ES,1713244071
275,maintirano,-18.0667,44.0167,26.2,80,100,1.69,MG,1713244071
276,limassol,34.675,33.0333,21.04,49,0,1.54,CY,1713244072
277,urangan,-25.3,152.9,26.78,72,32,3.13,AU,1713244072
278,kingston,17.997,-76.7936,27.53,75,20,1.54,JM,1713244073
279,tuntum,-5.2581,-44.6489,23.18,98,58,1.17,BR,1713244073
280,san luis de la loma,17.2706,-100.8939,26.22,67,73,2.68,MX,1713244074
281,hammerfest,70.6634,23.6821,-1.75,80,75,6.17,NO,1713244074
282,sejenane,37.0572,9.2381,14.13,96,89,3.91,TN,1713244075
283,kotamangalam,10.0667,76.6333,32.84,48,85,0.96,IN,1713244075
284,lompoc,34.6391,-120.4579,12.19,82,0,9.83,US,1713244075
285,vadso,70.0744,29.7487,-1.51,80,75,9.26,NO,1713244076
286,ilhabela,-23.7781,-45.3581,23.79,93,100,1.76,BR,1713244076
287,belaya kholunitsa,58.84,50.8528,6.57,75,84,4.07,RU,1713243868
288,dudinka,69.4058,86.1778,-19.07,94,100,4.02,RU,1713244077
289,zhaoqing,23.0512,112.4597,34.2,40,97,2.13,CN,1713243895
290,gisborne,-38.6533,178.0042,17.07,67,77,1.82,NZ,1713244577
291,iskateley,67.6803,53.1512,-7.77,95,100,7.15,RU,1713244078
292,sao joao da barra,-21.6403,-41.0511,24.59,83,99,4.55,BR,1713244078
293,nar'yan-mar,67.6713,53.087,-7.72,95,100,7.15,RU,1713244079
294,morant bay,17.8815,-76.4093,27.79,86,9,4.65,JM,1713244079
295,fort bragg,35.139,-79.006,22.85,57,0,2.57,US,1713244079
296,cartagena,10.3997,-75.5144,26.79,83,40,5.14,CO,1713244080
297,hasaki,35.7333,140.8333,25.16,67,99,9.87,JP,1713244080
298,ardmore,34.1743,-97.1436,21.92,89,100,7.2,US,1713244080
299,elk city,35.412,-99.4043,21.38,100,100,11.83,US,1713244081
300,colonia rincon viejo,16.9,-95.05,25.18,73,73,0.89,MX,1713244082
301,dakhla,23.6848,-15.958,21.43,49,0,4.74,EH,1713244082
302,brookings,44.3114,-96.7984,17.25,41,0,7.2,US,1713244083
303,el calafate,-50.3408,-72.2768,9.38,56,100,1.71,AR,1713244083
304,barra do bugres,-15.0725,-57.1811,23.78,93,100,1.63,BR,1713244083
305,santa catalina,9.3337,122.8637,30.99,53,60,1.08,PH,1713244084
306,sitka,57.0531,-135.33,7.94,61,0,5.66,US,1713244084
307,pedernales,18.0384,-71.744,26.76,76,51,1.16,DO,1713244085
308,jefferson city,38.5767,-92.1735,25.95,57,0,5.14,US,1713244085
309,kismayo,-0.3582,42.5454,28.58,75,88,6.06,SO,1713244086
310,tura,25.5198,90.2201,35.52,27,33,3.59,IN,1713244086
311,usakos,-22.0,15.6,18.48,27,43,1.11,NA,1713244086
312,lucas,41.6501,-83.6666,12.29,72,0,0.0,US,1713244087
313,kirensk,57.7853,108.1119,6.09,87,83,6.71,RU,1713244087
314,wad rawah,15.1603,33.1397,26.66,15,46,6.35,SD,1713244088
315,pacasmayo,-7.4006,-79.5714,21.29,80,50,4.87,PE,1713244088
316,santo antonio do ica,-3.1022,-67.9397,25.22,93,100,1.04,BR,1713244088
317,antonio enes,-16.2325,39.9086,26.09,70,100,4.05,MZ,1713244089
318,marquette,46.5333,-87.6335,3.53,79,65,1.38,US,1713244089
319,tavda,58.0425,65.2726,5.94,63,46,5.81,RU,1713244089
320,tweed heads,-28.1817,153.547,29.56,66,94,5.14,AU,1713244090
321,ratnagiri,16.9833,73.3,31.6,65,55,3.72,IN,1713244448
322,pizarro,4.9533,-77.366,26.08,89,100,2.04,CO,1713244091
323,puerto baquerizo moreno,-0.9,-89.6,24.17,90,89,3.43,EC,1713244091
324,walvis bay,-22.9575,14.5053,15.82,58,4,4.06,NA,1713244091
325,nishinoomote,30.7333,131.0,19.99,89,54,4.93,JP,1713244046
326,qeshm,26.9581,56.2719,22.94,77,100,9.72,IR,1713244092
327,carrigaline,51.8117,-8.3986,7.86,70,75,8.23,IE,1713244092
328,santa ana,33.7456,-117.8678,15.96,67,0,2.06,US,1713244092
329,howrah,22.5892,88.3103,36.0,52,5,2.57,IN,1713244577
330,san pedro de ycuamandiyu,-24.0917,-57.0764,22.61,99,100,0.31,PY,1713244093
331,leua,48.2156,18.6071,9.64,87,100,5.79,SK,1713244093
332,waiuku,-37.25,174.75,19.07,77,3,3.52,NZ,1713243978
333,toamasina,-18.1667,49.3833,25.08,88,100,4.8,MG,1713244094
334,cidreira,-30.1811,-50.2056,23.14,95,100,8.43,BR,1713244094
335,kenai,60.5544,-151.2583,3.05,68,0,3.09,US,1713244095
336,arar,30.9753,41.0381,18.01,59,0,4.12,SA,1713244095
337,dobrush,52.4089,31.3237,7.78,91,94,2.32,BY,1713244096
338,la ronge,55.1001,-105.2842,2.55,93,100,6.66,CA,1713244096
339,masterton,-40.9597,175.6575,16.05,58,0,1.2,NZ,1713244096
340,nykvarn,59.8,18.3,1.94,93,97,2.66,SE,1713244096
341,lazaro cardenas,17.9583,-102.2,23.79,83,89,1.22,MX,1713244097
342,novo aripuana,-5.1206,-60.3797,24.0,98,99,1.21,BR,1713244097
343,riberalta,-10.9833,-66.1,22.73,97,100,1.08,BO,1713244098
344,weno,7.4515,151.8468,26.97,89,100,1.54,FM,1713244098
345,mogocha,53.7333,119.7667,10.58,52,10,2.73,RU,1713244098
346,rawson,-43.3002,-65.1023,15.18,97,100,5.56,AR,1713244098
347,tocopilla,-22.092,-70.1979,19.65,65,0,3.59,CL,1713244099
348,buarcos,40.166,-8.8768,13.7,91,24,4.26,PT,1713244099
349,spring creek,40.7266,-115.5859,8.0,71,73,2.11,US,1713244099
350,murrells inlet,33.551,-79.0414,21.03,70,0,2.06,US,1713244100
351,colonia,50.9333,6.95,6.13,79,100,9.77,DE,1713243903
352,koryazhma,61.3143,47.1691,4.39,96,100,3.97,RU,1713244101
353,ar rutbah,33.0381,40.2848,18.88,56,6,3.28,IQ,1713244101
354,ulysses,37.5814,-101.3552,19.72,20,0,6.17,US,1713244101
355,krasnovishersk,60.4078,57.082,4.19,92,100,4.1,RU,1713244102
356,rongelap,11.1635,166.8941,27.6,81,94,7.7,MH,1713244102
357,agropoli,40.3469,14.9966,17.27,51,100,1.93,IT,1713244102
358,yung shue wan,22.2333,114.1167,30.68,68,63,4.88,HK,1713244103
359,castel,49.791,2.4548,8.36,81,51,9.34,FR,1713244103
